"","V2","V258","V59"
"629",12,1,9
"630",12,1,3
"631",12,1,9
"632",12,1,9
"633",12,1,7
"634",12,1,9
"635",12,1,6
"636",12,1,4
"637",12,1,4
"638",12,1,5
"639",12,1,6
"640",12,1,2
"641",12,1,8
"642",12,1,3
"643",12,1,1
"644",12,1,8
"645",12,1,8
"646",12,1,1
"647",12,1,8
"648",12,1,8
"649",12,1,1
"650",12,1,1
"651",12,1,5
"652",12,1,5
"653",12,1,5
"654",12,1,5
"655",12,1,5
"656",12,1,1
"657",12,1,5
"658",12,1,10
"659",12,1,5
"660",12,1,5
"661",12,1,5
"662",12,1,6
"663",12,1,7
"664",12,1,5
"665",12,1,8
"666",12,1,5
"667",12,1,3
"668",12,1,5
"669",12,1,7
"670",12,1,5
"671",12,1,6
"672",12,1,4
"673",12,1,5
"674",12,1,5
"675",12,1,10
"676",12,1,5
"677",12,1,7
"678",12,1,1
"679",12,1,8
"680",12,1,5
"681",12,1,6
"682",12,1,4
"683",12,1,4
"684",12,1,4
"685",12,1,6
"686",12,1,5
"687",12,1,6
"688",12,1,6
"689",12,1,6
"690",12,1,4
"691",12,1,4
"692",12,1,3
"693",12,1,3
"694",12,1,7
"695",12,1,6
"696",12,1,3
"697",12,1,4
"698",12,1,-2
"699",12,1,7
"700",12,1,4
"701",12,1,5
"702",12,1,8
"703",12,1,6
"704",12,1,7
"705",12,1,5
"706",12,1,10
"707",12,1,6
"708",12,1,6
"709",12,1,7
"710",12,1,5
"711",12,1,4
"712",12,1,10
"713",12,1,1
"714",12,1,-1
"715",12,1,10
"716",12,1,5
"717",12,1,1
"718",12,1,10
"719",12,1,9
"720",12,1,5
"721",12,1,4
"722",12,1,5
"723",12,1,4
"724",12,1,3
"725",12,1,2
"726",12,1,3
"727",12,1,8
"728",12,1,6
"729",12,1,7
"730",12,1,2
"731",12,1,7
"732",12,1,7
"733",12,1,6
"734",12,1,6
"735",12,1,6
"736",12,1,7
"737",12,1,8
"738",12,1,9
"739",12,1,7
"740",12,1,4
"741",12,1,7
"742",12,1,10
"743",12,1,8
"744",12,1,10
"745",12,1,6
"746",12,1,7
"747",12,1,8
"748",12,1,7
"749",12,1,7
"750",12,1,3
"751",12,1,5
"752",12,1,5
"753",12,1,5
"754",12,1,5
"755",12,1,5
"756",12,1,5
"757",12,1,6
"758",12,1,5
"759",12,1,5
"760",12,1,1
"761",12,1,9
"762",12,1,6
"763",12,1,3
"764",12,1,10
"765",12,1,-2
"766",12,1,7
"767",12,1,5
"768",12,1,10
"769",12,1,6
"770",12,1,5
"771",12,1,6
"772",12,1,6
"773",12,1,9
"774",12,1,8
"775",12,1,10
"776",12,1,4
"777",12,1,5
"778",12,1,10
"779",12,1,6
"780",12,1,8
"781",12,1,8
"782",12,1,5
"783",12,1,7
"784",12,1,5
"785",12,1,5
"786",12,1,5
"787",12,1,2
"788",12,1,7
"789",12,1,7
"790",12,1,8
"791",12,1,5
"792",12,1,9
"793",12,1,10
"794",12,1,10
"795",12,1,10
"796",12,1,9
"797",12,1,10
"798",12,1,6
"799",12,1,6
"800",12,1,10
"801",12,1,8
"802",12,1,4
"803",12,1,7
"804",12,1,9
"805",12,1,7
"806",12,1,7
"807",12,1,7
"808",12,1,7
"809",12,1,5
"810",12,1,-2
"811",12,1,5
"812",12,1,3
"813",12,1,2
"814",12,1,3
"815",12,1,5
"816",12,1,2
"817",12,1,6
"818",12,1,7
"819",12,1,9
"820",12,1,8
"821",12,1,10
"822",12,1,10
"823",12,1,10
"824",12,1,5
"825",12,1,5
"826",12,1,5
"827",12,1,5
"828",12,1,5
"829",12,1,5
"830",12,1,1
"831",12,1,10
"832",12,1,10
"833",12,1,10
"834",12,1,5
"835",12,1,10
"836",12,1,5
"837",12,1,5
"838",12,1,1
"839",12,1,-2
"840",12,1,10
"841",12,1,5
"842",12,1,10
"843",12,1,10
"844",12,1,10
"845",12,1,5
"846",12,1,5
"847",12,1,10
"848",12,1,5
"849",12,1,10
"850",12,1,1
"851",12,1,8
"852",12,1,8
"853",12,1,9
"854",12,1,5
"855",12,1,4
"856",12,1,9
"857",12,1,5
"858",12,1,6
"859",12,1,9
"860",12,1,4
"861",12,1,4
"862",12,1,7
"863",12,1,4
"864",12,1,8
"865",12,1,7
"866",12,1,7
"867",12,1,4
"868",12,1,8
"869",12,1,8
"870",12,1,7
"871",12,1,9
"872",12,1,10
"873",12,1,6
"874",12,1,5
"875",12,1,5
"876",12,1,5
"877",12,1,5
"878",12,1,8
"879",12,1,5
"880",12,1,8
"881",12,1,3
"882",12,1,7
"883",12,1,7
"884",12,1,7
"885",12,1,7
"886",12,1,8
"887",12,1,4
"888",12,1,6
"889",12,1,5
"890",12,1,2
"891",12,1,7
"892",12,1,5
"893",12,1,5
"894",12,1,7
"895",12,1,7
"896",12,1,1
"897",12,1,7
"898",12,1,1
"899",12,1,5
"900",12,1,9
"901",12,1,7
"902",12,1,7
"903",12,1,5
"904",12,1,9
"905",12,1,10
"906",12,1,2
"907",12,1,7
"908",12,1,10
"909",12,1,8
"910",12,1,10
"911",12,1,8
"912",12,1,7
"913",12,1,10
"914",12,1,6
"915",12,1,7
"916",12,1,7
"917",12,1,8
"918",12,1,7
"919",12,1,5
"920",12,1,10
"921",12,1,3
"922",12,1,10
"923",12,1,7
"924",12,1,5
"925",12,1,10
"926",12,1,6
"927",12,1,10
"928",12,1,-1
"929",12,1,3
"930",12,1,6
"931",12,1,-2
"932",12,1,8
"933",12,1,2
"934",12,1,3
"935",12,1,6
"936",12,1,7
"937",12,1,7
"938",12,1,7
"939",12,1,10
"940",12,1,9
"941",12,1,7
"942",12,1,9
"943",12,1,9
"944",12,1,7
"945",12,1,7
"946",12,1,7
"947",12,1,8
"948",12,1,10
"949",12,1,9
"950",12,1,6
"951",12,1,6
"952",12,1,6
"953",12,1,5
"954",12,1,6
"955",12,1,7
"956",12,1,9
"957",12,1,7
"958",12,1,8
"959",12,1,4
"960",12,1,7
"961",12,1,6
"962",12,1,7
"963",12,1,6
"964",12,1,8
"965",12,1,8
"966",12,1,8
"967",12,1,9
"968",12,1,9
"969",12,1,7
"970",12,1,5
"971",12,1,10
"972",12,1,2
"973",12,1,7
"974",12,1,9
"975",12,1,8
"976",12,1,7
"977",12,1,10
"978",12,1,8
"979",12,1,5
"980",12,1,1
"981",12,1,7
"982",12,1,6
"983",12,1,7
"984",12,1,6
"985",12,1,4
"986",12,1,4
"987",12,1,7
"988",12,1,6
"989",12,1,6
"990",12,1,6
"991",12,1,7
"992",12,1,5
"993",12,1,3
"994",12,1,5
"995",12,1,6
"996",12,1,6
"997",12,1,5
"998",12,1,7
"999",12,1,8
"1000",12,1,5
"1001",12,1,5
"1002",12,1,8
"1003",12,1,4
"1004",12,1,3
"1005",12,1,7
"1006",12,1,4
"1007",12,1,7
"1008",12,1,6
"1009",12,1,5
"1010",12,1,7
"1011",12,1,5
"1012",12,1,9
"1013",12,1,8
"1014",12,1,4
"1015",12,1,7
"1016",12,1,4
"1017",12,1,10
"1018",12,1,6
"1019",12,1,5
"1020",12,1,10
"1021",12,1,5
"1022",12,1,6
"1023",12,1,3
"1024",12,1,2
"1025",12,1,9
"1026",12,1,6
"1027",12,1,10
"1028",12,1,4
"1029",12,1,7
"1030",12,1,10
"1031",12,1,6
"1032",12,1,7
"1033",12,1,5
"1034",12,1,8
"1035",12,1,5
"1036",12,1,8
"1037",12,1,8
"1038",12,1,10
"1039",12,1,7
"1040",12,1,10
"1041",12,1,1
"1042",12,1,1
"1043",12,1,1
"1044",12,1,8
"1045",12,1,8
"1046",12,1,1
"1047",12,1,8
"1048",12,1,1
"1049",12,1,1
"1050",12,1,1
"1051",12,1,6
"1052",12,1,10
"1053",12,1,10
"1054",12,1,1
"1055",12,1,5
"1056",12,1,8
"1057",12,1,10
"1058",12,1,5
"1059",12,1,7
"1060",12,1,8
"1061",12,1,5
"1062",12,1,10
"1063",12,1,-1
"1064",12,1,8
"1065",12,1,9
"1066",12,1,5
"1067",12,1,8
"1068",12,1,3
"1069",12,1,8
"1070",12,1,7
"1071",12,1,10
"1072",12,1,1
"1073",12,1,6
"1074",12,1,6
"1075",12,1,2
"1076",12,1,5
"1077",12,1,-1
"1078",12,1,10
"1079",12,1,10
"1080",12,1,6
"1081",12,1,5
"1082",12,1,3
"1083",12,1,6
"1084",12,1,4
"1085",12,1,8
"1086",12,1,6
"1087",12,1,6
"1088",12,1,6
"1089",12,1,6
"1090",12,1,10
"1091",12,1,7
"1092",12,1,1
"1093",12,1,5
"1094",12,1,10
"1095",12,1,4
"1096",12,1,1
"1097",12,1,8
"1098",12,1,8
"1099",12,1,5
"1100",12,1,5
"1101",12,1,4
"1102",12,1,4
"1103",12,1,8
"1104",12,1,4
"1105",12,1,8
"1106",12,1,5
"1107",12,1,2
"1108",12,1,9
"1109",12,1,7
"1110",12,1,7
"1111",12,1,1
"1112",12,1,-1
"1113",12,1,8
"1114",12,1,1
"1115",12,1,7
"1116",12,1,-1
"1117",12,1,8
"1118",12,1,8
"1119",12,1,1
"1120",12,1,1
"1121",12,1,9
"1122",12,1,1
"1123",12,1,1
"1124",12,1,5
"1125",12,1,1
"1126",12,1,8
"1127",12,1,1
"1128",12,1,1
"1129",12,1,8
"1130",12,1,1
"1131",12,1,6
"1132",12,1,5
"1133",12,1,8
"1134",12,1,6
"1135",12,1,7
"1136",12,1,6
"1137",12,1,4
"1138",12,1,5
"1139",12,1,7
"1140",12,1,6
"1141",12,1,7
"1142",12,1,4
"1143",12,1,7
"1144",12,1,6
"1145",12,1,7
"1146",12,1,6
"1147",12,1,6
"1148",12,1,4
"1149",12,1,6
"1150",12,1,6
"1151",12,1,5
"1152",12,1,7
"1153",12,1,5
"1154",12,1,-1
"1155",12,1,5
"1156",12,1,-1
"1157",12,1,5
"1158",12,1,8
"1159",12,1,1
"1160",12,1,5
"1161",12,1,10
"1162",12,1,10
"1163",12,1,5
"1164",12,1,-2
"1165",12,1,5
"1166",12,1,6
"1167",12,1,5
"1168",12,1,5
"1169",12,1,5
"1170",12,1,6
"1171",12,1,7
"1172",12,1,4
"1173",12,1,7
"1174",12,1,5
"1175",12,1,5
"1176",12,1,4
"1177",12,1,6
"1178",12,1,5
"1179",12,1,4
"1180",12,1,1
"1181",12,1,7
"1182",12,1,7
"1183",12,1,8
"1184",12,1,8
"1185",12,1,7
"1186",12,1,7
"1187",12,1,5
"1188",12,1,8
"1189",12,1,9
"1190",12,1,7
"1191",12,1,8
"1192",12,1,7
"1193",12,1,7
"1194",12,1,4
"1195",12,1,7
"1196",12,1,7
"1197",12,1,-2
"1198",12,1,7
"1199",12,1,9
"1200",12,1,7
"1201",32,0.469330188679245,8
"1202",32,0.37659375,9
"1203",32,0.469330188679245,7
"1204",32,0.315866666666667,7
"1205",32,0.469330188679245,10
"1206",32,0.486510638297872,7
"1207",32,0.469330188679245,6
"1208",32,0.486510638297872,4
"1209",32,0.469330188679245,8
"1210",32,0.469330188679245,6
"1211",32,0.37659375,10
"1212",32,0.37659375,10
"1213",32,0.37659375,8
"1214",32,0.37659375,9
"1215",32,0.37659375,8
"1216",32,0.37659375,8
"1217",32,0.37659375,8
"1218",32,0.469330188679245,7
"1219",32,0.469330188679245,7
"1220",32,0.37659375,10
"1221",32,0.469330188679245,6
"1222",32,0.486510638297872,4
"1223",32,0.486510638297872,8
"1224",32,0.469330188679245,7
"1225",32,0.469330188679245,5
"1226",32,0.469330188679245,7
"1227",32,0.469330188679245,5
"1228",32,0.469330188679245,6
"1229",32,0.315866666666667,4
"1230",32,0.315866666666667,7
"1231",32,0.37659375,8
"1232",32,0.315866666666667,1
"1233",32,0.469330188679245,7
"1234",32,0.486510638297872,1
"1235",32,0.469330188679245,9
"1236",32,0.469330188679245,6
"1237",32,0.469330188679245,4
"1238",32,0.469330188679245,5
"1239",32,0.486510638297872,4
"1240",32,0.469330188679245,4
"1241",32,0.315866666666667,6
"1242",32,0.469330188679245,7
"1243",32,0.469330188679245,5
"1244",32,0.469330188679245,4
"1245",32,0.486510638297872,6
"1246",32,0.486510638297872,6
"1247",32,0.469330188679245,3
"1248",32,0.469330188679245,6
"1249",32,0.469330188679245,5
"1250",32,0.486510638297872,6
"1251",32,0.486510638297872,8
"1252",32,0.469330188679245,8
"1253",32,0.486510638297872,7
"1254",32,0.486510638297872,7
"1255",32,0.469330188679245,5
"1256",32,0.469330188679245,7
"1257",32,0.469330188679245,7
"1258",32,0.37659375,4
"1259",32,0.37659375,7
"1260",32,0.469330188679245,8
"1261",32,0.486510638297872,7
"1262",32,0.315866666666667,6
"1263",32,0.315866666666667,7
"1264",32,0.315866666666667,7
"1265",32,0.469330188679245,5
"1266",32,0.315866666666667,10
"1267",32,0.37659375,9
"1268",32,0.469330188679245,9
"1269",32,0.469330188679245,9
"1270",32,0.469330188679245,7
"1271",32,0.37659375,9
"1272",32,0.37659375,9
"1273",32,0.469330188679245,8
"1274",32,0.315866666666667,4
"1275",32,0.486510638297872,5
"1276",32,0.486510638297872,5
"1277",32,0.469330188679245,8
"1278",32,0.469330188679245,6
"1279",32,0.37659375,6
"1280",32,0.469330188679245,5
"1281",32,0.469330188679245,6
"1282",32,0.486510638297872,10
"1283",32,0.469330188679245,7
"1284",32,0.469330188679245,5
"1285",32,0.469330188679245,1
"1286",32,0.37659375,3
"1287",32,0.469330188679245,2
"1288",32,0.469330188679245,5
"1289",32,0.37659375,8
"1290",32,0.469330188679245,8
"1291",32,0.469330188679245,8
"1292",32,0.469330188679245,6
"1293",32,0.469330188679245,9
"1294",32,0.469330188679245,8
"1295",32,0.486510638297872,6
"1296",32,0.486510638297872,8
"1297",32,0.469330188679245,3
"1298",32,0.469330188679245,4
"1299",32,0.469330188679245,7
"1300",32,0.469330188679245,-2
"1301",32,0.469330188679245,5
"1302",32,0.37659375,9
"1303",32,0.469330188679245,6
"1304",32,0.37659375,7
"1305",32,0.315866666666667,8
"1306",32,0.486510638297872,6
"1307",32,0.37659375,6
"1308",32,0.469330188679245,3
"1309",32,0.469330188679245,8
"1310",32,0.469330188679245,8
"1311",32,0.315866666666667,5
"1312",32,0.315866666666667,6
"1313",32,0.469330188679245,10
"1314",32,0.469330188679245,6
"1315",32,0.486510638297872,6
"1316",32,0.486510638297872,1
"1317",32,0.486510638297872,4
"1318",32,0.469330188679245,4
"1319",32,0.469330188679245,4
"1320",32,0.469330188679245,3
"1321",32,0.315866666666667,1
"1322",32,0.37659375,4
"1323",32,0.37659375,4
"1324",32,0.486510638297872,5
"1325",32,0.469330188679245,6
"1326",32,0.315866666666667,9
"1327",32,0.37659375,8
"1328",32,0.315866666666667,7
"1329",32,0.486510638297872,7
"1330",32,0.469330188679245,7
"1331",32,0.486510638297872,7
"1332",32,0.469330188679245,7
"1333",32,0.486510638297872,5
"1334",32,0.486510638297872,5
"1335",32,0.469330188679245,6
"1336",32,0.486510638297872,4
"1337",32,0.469330188679245,5
"1338",32,0.469330188679245,4
"1339",32,0.469330188679245,8
"1340",32,0.469330188679245,8
"1341",32,0.486510638297872,8
"1342",32,0.469330188679245,7
"1343",32,0.469330188679245,5
"1344",32,0.469330188679245,8
"1345",32,0.469330188679245,8
"1346",32,0.469330188679245,4
"1347",32,0.486510638297872,9
"1348",32,0.315866666666667,9
"1349",32,0.486510638297872,6
"1350",32,0.486510638297872,6
"1351",32,0.37659375,7
"1352",32,0.315866666666667,7
"1353",32,0.486510638297872,7
"1354",32,0.469330188679245,6
"1355",32,0.469330188679245,5
"1356",32,0.469330188679245,5
"1357",32,0.469330188679245,7
"1358",32,0.315866666666667,1
"1359",32,0.469330188679245,6
"1360",32,0.486510638297872,2
"1361",32,0.469330188679245,5
"1362",32,0.469330188679245,6
"1363",32,0.469330188679245,7
"1364",32,0.469330188679245,8
"1365",32,0.37659375,7
"1366",32,0.315866666666667,5
"1367",32,0.486510638297872,5
"1368",32,0.315866666666667,7
"1369",32,0.486510638297872,7
"1370",32,0.486510638297872,6
"1371",32,0.469330188679245,6
"1372",32,0.469330188679245,4
"1373",32,0.315866666666667,4
"1374",32,0.469330188679245,5
"1375",32,0.469330188679245,5
"1376",32,0.469330188679245,7
"1377",32,0.486510638297872,7
"1378",32,0.486510638297872,7
"1379",32,0.469330188679245,4
"1380",32,0.37659375,7
"1381",32,0.315866666666667,6
"1382",32,0.315866666666667,6
"1383",32,0.315866666666667,2
"1384",32,0.486510638297872,6
"1385",32,0.315866666666667,3
"1386",32,1.14080303030303,6
"1387",32,1.14080303030303,5
