shortCountry,country,Onshore wind,Offshore wind,Wave device,Geothermal electric plant,Hydroelectric plant,Tidal turbine,Res. roof PV system,Com/gov/Indus roof PV system,Solar PV plant,CSP plant ,Sum(excludeHydro)
 NAM ,Namibia,0.213312906,0.034294463,0.055969275,0,0.064678961,0.002499794,0.162042244,0.308651894,0.053328227,0.105222236,0.935321039
 NPL ,Nepal,0.160680005,0,0,5.33E-15,0.022293667,0,0.286251164,0.042521104,0.3709293,0.11732476,0.977706333
 NLD ,Netherlands,0.057298907,0.413231824,0,1.34E-15,0.000274883,4.35E-05,0.010725574,0.008094628,0.390368902,0.119961796,0.999725118
 ANT ,Netherlands Antilles,0.007060368,0.067098006,0,0,0,0.000873877,0.029037347,0.012744195,0.763291072,0.119895135,1
 NZL ,New Zealand,0.190353577,0.158627981,0.046144626,0.092880178,0.13550355,0.002539171,0.138469809,0.101140816,0.047588394,0.086751897,0.864496449
 NIC ,Nicaragua,0.124454455,0.103712045,0.048222012,0.168967772,0.025422643,0.001909387,0.139612369,0.265928322,0.031113614,0.090657382,0.974577358
 NGA ,Nigeria,0.063125315,0,0.001367774,0,0.005889495,2.56E-05,0.222448025,0.238025315,0.349992446,0.119126059,0.994110506
 NOR ,Norway,0.229009938,0.190841615,0.033160995,2.74E-15,0.444694197,0.002622557,0.036293164,0.00612505,0.057252484,0,0.555305803
 OMN ,Oman,0.474397797,0.035219454,0.006338856,0,0,0.000208944,0.152747489,0.093273748,0.118599449,0.119214264,1.000000001
 PAK ,Pakistan,0.191400706,0.084171395,0.00194571,7.02E-16,0.028299918,3.94E-05,0.247713681,0.145595801,0.184467592,0.116365796,0.971700082
 PAN ,Panama,0.170242525,0.061763721,0.051065109,0,0.140553527,0.008361325,0.147843703,0.281607054,0.042560631,0.096002405,0.859446473
 PRY ,Paraguay,0.064765363,0,0,0,0.764112167,0,0.043592071,0.083032517,0.016191341,0.02830654,0.235887832
 PER ,Peru,0.214989418,0,0.049980801,0.062844068,0.103711463,0.000431115,0.144704416,0.275627459,0.053747354,0.093963906,0.896288537
 PHL ,Philippines,0.076641911,0.115395239,0.005941898,0.112195862,0.03860274,0.002676463,0.155339745,0.295885229,0.096450948,0.100869965,0.96139726
 POL ,Poland,0.426238216,0.233826496,0,0.001300768,0.003736689,3.78E-05,0.08640899,0.141891459,0.106559554,0,0.996263312
 PRT ,Portugal,0.184479292,0.153732743,0.041824957,0.004752134,0.12031669,0.006495726,0.206947923,0.136137453,0.046119823,0.099193259,0.87968331
 QAT ,Qatar,0.003174121,0.118186649,0,0,0,7.39E-05,0.012964749,0.007421702,0.738187743,0.119991131,0.999999999
 ROM ,Romania,0.327313343,0.272761119,0,0.002561542,0.094073566,5.30E-05,0.155443263,0.065965841,0.081828336,0,0.905926433
 RUS ,Russian Federation,0.3912731,0.326060917,0.002460507,0.000843449,0.046151514,0.000161408,0.055506049,0.058553418,0.097818275,0.021171362,0.953848485
 SAU ,Saudi Arabia,0.417690221,0,0,4.45E-16,0,4.56E-05,0.222605666,0.135241432,0.104422555,0.119994528,0.999999999
 SEN ,Senegal,0.17162695,0.143022458,0.015580679,0,0,0.000726147,0.192530232,0.315563615,0.042906737,0.118043181,0.999999999
 SRB ,Serbia,0.104142675,0,0,6.58E-15,0.081132467,0,0.159341239,0.154043564,0.501340056,0,0.918867534
 SGP ,Singapore,0,0.929263948,0,0.054932448,0,2.62E-05,0.012247095,0.003530272,0,0,1.000000001
 SVK ,Slovak Republic,0.617761913,0,0,6.79E-15,0.060544209,0,0.101227271,0.066026129,0.154440478,0,0.939455791
 SVN ,Slovenia,0.433090822,0.077038158,0,0.018094829,0.130536271,0.000133388,0.119538294,0.113295533,0.108272706,0,0.86946373
 ZAF ,South Africa,0.419997452,0.061705935,0.031910571,5.79E-16,0.002158421,6.17E-05,0.172203387,0.091058882,0.104999363,0.115904321,0.99784158
 ESP ,Spain,0.334908735,0.1355303,0.014670593,0.000425829,0.06287181,0.002328275,0.171802777,0.083370078,0.083727184,0.110364419,0.93712819
 LKA ,Sri Lanka,0.155453117,0.129544265,0.013794658,0,0.051877251,0.000379499,0.17438651,0.323627589,0.038863279,0.112073831,0.948122748
