Item,a1,a2,a3,ak0,ak1,ak2,ak3,ak4,ak5,ak6,ak7,ak8,ak9,Codes Used,Item Type,Model Required,d0,d1,d2,ak3,d3,ak4,d4,ak5,ak6,d5,d6,ak7,d7,ak8,ak9,d8,d9
V56,-0.030193328,-0.561511714,0.700595299,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,3.835669394,3.644247919,3,2.850365473,4,-0.204230629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V55,-0.023759579,0.976697564,0.784136301,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,1.812162852,1.533700913,3,-1.370650467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V157,-0.033773281,0.617626479,0.121680953,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,1.630967878,0.088729427,3,-0.957924636,4,-2.868902319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V158,-0.286226368,-0.394864333,0.336258933,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,1.802579657,3.296623637,3,1.962275394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V159,-0.812884466,0.071881225,0.077396962,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,1.77119685,3.022996643,3,2.299441213,4,2.385986691,5,NA,0.682660215,NA,NA,NA,NA,NA,NA,NA
V160,0.042140468,0.058744573,-0.012493695,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,2.198458684,3.329593601,3,2.772533462,4,0.686461436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V164,-0.08279156,0.14300124,0.264722437,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,1.292796948,1.567352701,3,2.385921969,4,2.655686452,5,NA,1.361595789,NA,NA,NA,NA,NA,NA,NA
V59,0.631618899,0.658316443,0.847635218,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,2.56245093,3.613564775,3,2.698938358,4,-0.286313679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V95,-1.294323218,0.124988599,-0.04175231,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,-0.642105237,-3.679508209,3,-5.514534572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V96,-0.353145582,0.381606881,-0.200374988,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,0.043179192,1.266714273,3,1.395665332,4,0.731718418,5,NA,-0.536265028,NA,NA,NA,NA,NA,NA,NA
V97,-0.304552985,-0.059107466,-0.543280996,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,-0.243398017,3.060614891,3,3.223773176,4,1.94778493,5,NA,-0.709632099,NA,NA,NA,NA,NA,NA,NA
V98,0.393378334,0.330640292,1.11006017,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,1.550955859,1.355085903,3,1.30378843,4,0.031706913,5,NA,-2.350886226,NA,NA,NA,NA,NA,NA,NA
V99,0.50652163,-0.109045814,0.726610776,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,1.555626971,2.557668524,3,2.673986478,4,1.328401849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V100,0.375895767,-0.22921838,0.297765778,0,1,2,3,4,5,6,NA,NA,NA,7,Ordered,gpcm,0,1.444539471,2.209153114,3,1.936273278,4,1.923570162,5,6,-1.06058074,-1.574145727,NA,NA,NA,NA,NA,NA
V101,-0.218405195,0.164391369,-0.007145762,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,1.170759027,0.396194489,3,0.345435867,4,-1.471753791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V131,-0.079971169,-0.737545041,-0.372838201,0,1,2,3,4,5,6,NA,NA,NA,7,Ordered,gpcm,0,3.180042371,3.852146761,3,3.858792257,4,3.649707718,5,6,1.100142099,-0.449624964,NA,NA,NA,NA,NA,NA
V132,-2.038541545,0.392050632,-0.496736382,0,1,2,3,4,5,6,7,NA,NA,8,Ordered,gpcm,0,2.509602922,4.300370087,3,3.986040601,4,3.06994795,5,6,0.433131248,-1.853188495,7,-5.190878971,NA,NA,NA,NA
V134,-0.094762027,-0.556898971,-0.55638878,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,1.725703469,2.545642797,3,2.727399802,4,2.190328278,5,NA,-1.032425062,NA,NA,NA,NA,NA,NA,NA
V135,-1.215782014,0.025284413,-0.172656192,0,1,2,3,4,5,6,7,NA,NA,8,Ordered,gpcm,0,1.924262947,1.600514395,3,2.528815356,4,2.819471567,5,6,1.065501012,-0.972307727,7,-2.752749478,NA,NA,NA,NA
V136,0.389150851,-0.472411943,-0.376771202,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,1.686034859,2.261417538,3,1.712974586,4,0.264594896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V137,-0.454817845,-0.436827948,-0.334136784,0,1,2,3,4,5,6,7,NA,NA,8,Ordered,gpcm,0,2.162767724,2.076610964,3,4.028639207,4,4.698190803,5,6,4.848235333,3.638967088,7,1.828049168,NA,NA,NA,NA
V138,-0.905886783,0.014332482,-0.115522933,0,1,2,3,4,5,6,7,8,9,10,Ordered,gpcm,0,1.527532528,2.876424042,3,4.638239308,4,7.376292088,5,6,7.373703076,7.10446279,7,5.937207055,8,9,4.590298798,2.751883837
V141,0.40738564,0.190776927,1.276051217,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,2.675273972,2.885483579,3,3.19496473,4,1.33591185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V192,-1.023020929,-1.200404184,-0.714770373,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,2.28654258,0.364540046,3,-2.448822042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V194,-0.300013197,0.347638897,0.268574992,0,1,2,3,4,5,6,NA,NA,NA,7,Ordered,gpcm,0,1.077731187,1.09593136,3,3.310232884,4,2.879062933,5,6,2.040133268,-0.451983002,NA,NA,NA,NA,NA,NA
V197,-0.39904936,-1.533898246,-0.505335055,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,2.833859796,2.700287247,3,-0.372181997,4,-2.879271693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V198,-0.086886833,0.162261656,0.19365363,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,-0.673778849,-1.623560611,3,-2.114803607,4,-3.653951535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V200,-1.264177013,4.446519663,10.72909914,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-16.23276946,-33.18171722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V209,-0.483230867,0.11558373,0.080155792,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,-1.425195381,-1.647091364,3,-2.26006508,4,-2.178304445,5,NA,-4.379308274,NA,NA,NA,NA,NA,NA,NA
V210,-0.734674968,0.53551214,1.592341472,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-3.364477831,-6.907507526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V199,-0.202070581,0.042437747,0.290686346,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,-0.859767342,-2.173512217,3,-2.320818942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V201,-0.735105806,0.254470583,0.023016208,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-1.674936903,-3.202306021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V202,-1.12180286,2.32103762,7.402209101,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,-10.86411937,-21.01841317,3,-32.19042835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V203,2.587273122,0.547195063,1.79641671,0,1,2,3,4,5,6,7,NA,NA,8,Ordered,gpcm,0,-0.816973133,-1.906684644,3,-3.958108542,4,-4.588973199,5,6,-7.662512454,-12.37276834,7,-17.24670466,NA,NA,NA,NA
V204,1.76428425,-0.683126096,0.592443471,0,1,2,3,4,5,6,7,8,NA,9,Ordered,gpcm,0,-0.582006362,-0.711113826,3,-2.843128357,4,-3.729341176,5,6,-8.088585932,-10.97930272,7,-14.38587016,8,NA,-18.19977766,NA
V205,1.96411065,0.187047979,0.188525499,0,1,2,3,4,5,6,7,8,9,10,Ordered,gpcm,0,2.465325902,3.85172871,3,3.629903396,4,4.813646219,5,6,3.318775899,1.056541476,7,-0.84989524,8,9,-5.507340265,-8.952372491
V207,2.077362268,0.213521654,3.924622439,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,-3.723797895,-9.195532463,3,-16.41100947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V206,0.877687698,0.134728997,-0.020375562,0,1,2,3,4,5,6,7,8,9,10,Ordered,gpcm,0,-1.112857098,-1.103180248,3,-0.45721362,4,0.890656869,5,6,0.269614037,-1.400161408,7,-0.972181615,8,9,-2.627214913,-3.812023201
V208,-1.300242553,0.596905021,0.281884505,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,-3.001722572,-5.785427455,3,-7.61359533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V195,-0.814655582,1.376279236,-0.183270139,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,2.13529918,5.480296083,3,4.574372431,4,1.468038548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V196,-0.137792311,0.237322785,0.351305513,0,1,2,3,4,5,NA,NA,NA,NA,6,Ordered,gpcm,0,2.047543189,2.097739073,3,2.920662646,4,1.163806038,5,NA,-0.722366955,NA,NA,NA,NA,NA,NA,NA
V25,-0.146562786,1.837263431,1.622580614,0.00,1.03,2.00,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-4.711238345,-5.004032363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V61,-0.179948412,-0.169968321,-0.27481391,0.00,2.23,-3.94,3,NA,NA,NA,NA,NA,NA,4,NOT ORDERED,nominal,0,1.452186648,2.761048442,3,0.557998403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V62,3.431932679,0.590769832,3.123716005,0.00,0.38,0.13,3,NA,NA,NA,NA,NA,NA,4,NOT ORDERED,nominal,0,-3.123557361,-1.01483326,3,-24.16053615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V63,0.486399003,0.212364554,0.240511608,0.00,2.80,0.07,3,NA,NA,NA,NA,NA,NA,4,NOT ORDERED,nominal,0,-0.060673748,2.67173041,3,-0.159187285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V64,0.115070179,4.273756059,-1.59723025,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-6.751899396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V65,-0.060151996,0.089359486,-0.01830768,0.00,-10.76,23.48,3,NA,NA,NA,NA,NA,NA,4,NOT ORDERED,nominal,0,1.308844996,-0.795056125,3,3.800102663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V80,2.138279459,-2.337679543,-1.166030453,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-6.726492636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V81,-0.209329042,0.496433138,-0.712737825,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-0.424067939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V147,0.475245481,-0.717441162,0.254133797,0.00,2.88,2.00,NA,NA,NA,NA,NA,NA,NA,3,NOT ORDERED,nominal,0,-2.924395208,-4.434290287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V150,1.05428227,-0.015012615,0.769474222,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,2.187569028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V151,3.518204952,-0.453782227,0.777275732,0.00,1.98,2.00,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,5.995539362,2.089700138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V13,0.810755878,0.867630274,-0.445854716,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-0.821746318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V14,-3.712148962,3.276710178,0.60781181,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-6.989287017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V15,2.976622573,0.52837868,-1.023749077,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,6.417092208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V16,0.317833018,0.116497978,-0.240532484,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-3.370399363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V17,0.07533996,1.495245752,-0.346413175,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,1.789040163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V18,-0.292686217,1.083251718,-0.727236378,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,1.883160228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V19,4.804995222,-2.30312563,2.551534389,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,2.598508379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V20,0.338924475,-0.427470019,-1.233421179,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,3.048233002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V21,0.937895676,-1.466556185,0.168779181,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,1.253647661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22,0.344788397,1.689333925,-0.220072469,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,3.700027126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V24,-6.810338717,5.940667449,-8.991690083,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,14.84956549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V37,1.902577902,1.810829071,1.826547469,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,5.941679181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V38,1.850761008,2.126751541,0.826612304,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,0.79599002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V39,2.42691037,0.055651043,0.298314083,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,4.05547999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V40,11.55506669,4.136349262,11.00357274,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-2.529090865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V41,1.526547655,1.742199119,3.461683504,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,6.659714172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V42,2.325723998,2.456172105,0.863280951,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-4.831794491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V43,6.87606372,2.12417191,3.164032492,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,5.610593793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V66,2.038263658,0.533265271,-0.24797079,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-2.855303647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V148,1.547128663,-1.941824087,2.952106184,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-5.219707311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V149,1.891352271,-0.74622108,0.190349635,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-1.203209555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V176,-0.128193096,0.130319985,-0.883111223,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-0.850000327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V177,0.633075258,0.121492542,0,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-0.105338302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V187,0.114786093,0,0,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,1.406022562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
