Item,a1,a2,a3,ak0,ak1,ak2,ak3,ak4,ak5,ak6,ak7,ak8,ak9,Codes Used,Item Type,Model Required,d0,d1,d2,ak3,d3,ak4,d4,ak5,ak6,d5,d6,ak7,d7,ak8,ak9,d8,d9
V115,1.392668031,2.058006314,-2.064354912,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,6.918614779,7.855965017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V116,1.897674936,4.135091622,-5.141602417,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,11.76798204,18.55138728,3,11.46303753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V117,2.380963876,4.49552168,-4.760690608,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,13.06268721,17.57028027,3,8.793340003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V118,1.815066771,2.618154429,-2.502705715,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,8.058474081,8.119055956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V119,1.098495243,3.92099088,-3.551601417,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,10.28756987,2.657522421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V120,2.139240456,1.305574231,-3.332770705,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-0.466965544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V121,1.801612151,1.250847385,-1.811539459,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,6.261040707,5.369540425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V122,0.080940987,0.168368581,-1.930450232,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-1.202008569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V123,1.866996808,1.480083701,-3.957570846,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,8.194220412,5.130995114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V124,0.671656856,0.365581498,-1.068203212,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-1.570179571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
