"","PC1","PC2","PC3","PC4","PC5"
"V164_rneg6",-0.006,-0.005,0.016,0.011,0.012
"V165_1",-0.022,-0.049,-0.015,-0.023,-0.012
"V165_2",0.048,-0.027,-0.009,-0.008,-0.044
"V165_3",0.009,0.041,0.03,0,0.016
"V165_4",-0.033,0.027,-0.021,0.015,0.043
"V166_1",-0.014,-0.012,0.034,0.019,-0.005
"V166_2",-0.013,-0.02,0.098,0.067,-0.022
"V166_3",0.047,-0.024,-0.003,-0.013,0.011
"V166_4",-0.002,0.022,-0.092,-0.124,0.053
"V167_1",-0.007,-0.008,0.009,0.008,-0.008
"V167_2",-0.003,-0.014,0.023,-0.002,-0.022
"V167_3",0.037,-0.001,0.038,-0.012,-0.056
"V167_4",-0.023,0.015,-0.08,-0.013,0.092
"V168_1",-0.042,0.003,0.012,0.037,0.006
"V168_2",-0.051,0.021,0.061,-0.011,-0.016
"V168_3",0.068,-0.021,-0.018,-0.036,-0.002
"V168_4",0.027,-0.024,-0.044,0.001,0.04
"V169_1",-0.037,-0.034,0.013,0.025,-0.017
"V169_2",-0.039,-0.025,0.01,-0.016,-0.038
"V169_3",0.071,0.024,0.02,-0.01,0.044
"V169_4",0.012,0.01,-0.019,-0.018,0.052
"V81_1",0.006,-0.009,0.021,-0.062,0.019
"V81_2",-0.011,0.024,0.002,0.039,-0.016
"V81_3",0.001,0.003,0.016,0.007,-0.014
"V82_1",0.032,-0.025,0.022,0.044,0.026
"V83_1",-0.006,-0.032,0.007,0,-0.005
"V45_1",-0.115,0.093,0.015,0.059,0.002
"V45_2",0.018,0.021,0.063,-0.007,-0.035
"V45_3",0.094,-0.121,-0.077,-0.051,0.038
"V46_1",-0.019,-0.016,0.075,-0.165,0.063
"V46_2",0.021,-0.005,0.039,-0.01,0.023
"V46_3",0.043,-0.04,-0.024,0.018,0.084
"V102_1",-0.033,0.052,-0.008,-0.036,-0.013
"V102_2",0.015,-0.027,0.015,0.007,-0.008
"V102_3",-0.002,-0.012,0.001,-0.002,-0.005
"V102_4",-0.001,-0.002,0,0,-0.002
"V49_1",-0.137,-0.024,0.006,0.049,0.063
"V49_2",0.07,-0.006,0.008,-0.053,-0.047
"V49_3",0.049,0.012,-0.003,0.008,0
"V49_4",0.008,0.003,-0.004,-0.005,0.003
"V54_1",-0.036,0.056,-0.005,-0.02,0.056
"V54_2",0.021,0.026,0.031,0,-0.047
"V54_3",0.007,-0.054,0.004,0.012,0.001
"V54_4",-0.008,-0.034,-0.003,-0.005,0.002
"V51_1",-0.087,0.058,-0.01,0.067,0.035
"V51_2",-0.028,0.046,0.069,-0.014,-0.017
"V51_3",0.064,-0.052,0.007,-0.035,-0.024
"V51_4",0.041,-0.058,-0.05,-0.02,0.02
"V52_1",-0.035,0.013,0.014,0.025,0.021
"V52_2",-0.022,0.015,0.046,0.008,-0.02
"V52_3",0.028,-0.01,0.015,-0.043,-0.045
"V52_4",0.023,-0.028,-0.069,0.009,0.061
"V50_1",-0.057,0.023,-0.037,0.046,-0.017
"V50_2",-0.026,0.029,-0.007,0.021,-0.051
"V50_3",0.054,-0.023,0.059,-0.052,0.035
"V50_4",0.009,-0.019,0.016,-0.012,0.062
"V48_1",0.017,-0.047,-0.02,-0.056,0.004
"V48_2",-0.001,0.038,0.049,0.012,-0.016
"V48_3",-0.019,-0.005,-0.019,0.039,0.022
"V47_1",-0.067,-0.018,-0.004,0.014,0.025
"V47_2",-0.001,0.033,0.071,0.001,-0.042
"V47_3",0.064,-0.029,-0.057,-0.02,0.033
"V53_1",-0.07,0.046,-0.005,0.042,0.04
"V53_2",-0.034,0.051,0.052,-0.002,-0.014
"V53_3",0.054,-0.049,0.008,-0.035,-0.035
"V53_4",0.041,-0.059,-0.045,-0.009,0.025
"V60_1",-0.009,0.006,-0.006,-0.045,0.026
"V60_2",-0.037,0.02,0.007,0.046,-0.011
"V60_3",0.035,-0.033,-0.003,-0.014,-0.006
"V60_4",0.001,0.003,0.01,0,-0.018
"V61_1",0.005,-0.006,-0.012,-0.001,-0.024
"V61_2",-0.035,0.044,-0.006,0.034,-0.006
"V61_3",0.022,-0.053,0.025,-0.035,0.002
"V61_4",-0.003,0.007,0.016,-0.012,0.019
"V62_1",-0.057,0.043,0.019,0.025,0.031
"V62_2",0.019,-0.043,0.008,-0.023,-0.012
"V62_3",0.009,0.023,0.004,-0.029,-0.024
"V62_4",0.019,-0.027,-0.027,0.016,0.004
"V63_1",0.006,0.01,0.006,-0.007,0
"V63_2",0.009,-0.012,0.019,-0.003,0.013
"V63_3",-0.03,0.029,0.008,-0.004,0.001
"V63_4",0.004,-0.034,-0.02,0.003,-0.007
"V64_1",0.006,0.038,0.034,-0.044,0.003
"V64_2",0.009,-0.008,0.009,0.038,-0.011
"V64_3",-0.002,-0.002,0.003,0,0.003
"V64_4",-0.019,-0.033,-0.041,-0.005,-0.003
"V65_1",0.001,-0.022,-0.007,-0.001,0
"V65_2",0.012,0.029,0.014,0.018,-0.003
"V65_3",-0.008,-0.013,0.025,-0.002,0.002
"V65_4",-0.009,-0.002,-0.018,-0.025,0
"V66_1",-0.053,0.014,0.013,-0.002,0.074
"V67_1",0.025,-0.013,0.004,0.001,-0.011
"V67_2",0.028,0.004,0.044,0.027,0.002
"V67_3",-0.056,0.007,-0.031,-0.033,0.01
"V68_1",-0.038,0.016,-0.019,-0.031,-0.01
"V68_2",0.031,-0.008,0.044,0.025,0.017
"V68_3",0.007,-0.012,-0.003,-0.002,0.001
"V69_1",-0.058,-0.079,-0.069,-0.009,0.068
"V69_2",0.02,0.045,0.047,-0.018,-0.024
"V69_3",0.036,0.025,0.036,0.022,-0.036
"V80_1",-0.011,0.005,-0.055,0.001,-0.003
"V80_2",-0.004,-0.022,0.015,0.005,0
"V80_3",-0.006,0.004,0.025,0.012,0.024
"V80_4",-0.005,-0.02,-0.012,0.007,0.002
"V80_5",0.024,0.026,0.029,-0.028,-0.021
"V84_1",-0.001,-0.017,0.014,0.03,0.024
"V84_2",0.011,0.021,0.018,0.06,0.007
"V84_3",0.01,0.023,0.024,-0.045,-0.009
"V84_4",-0.019,-0.03,-0.054,-0.05,-0.018
"V85_1",0.084,-0.059,-0.061,0.055,0.041
"V85_2",0.025,-0.058,-0.012,0.009,-0.067
"V85_3",-0.109,0.058,0.034,-0.083,-0.079
"V86_1",0.014,-0.016,-0.011,0.031,0.015
"V86_2",0.049,-0.031,-0.015,0.09,-0.025
"V86_3",-0.069,-0.01,-0.012,-0.138,-0.094
"V87_1",0.006,-0.021,-0.04,0.021,-0.005
"V87_2",0.049,-0.077,-0.028,0.039,-0.035
"V87_3",-0.062,0.04,0.021,-0.076,-0.071
"V88_1",0.007,-0.032,-0.021,0.03,0
"V88_2",0.044,-0.059,-0.038,0.058,-0.017
"V88_3",-0.059,0.03,0.018,-0.107,-0.093
"V89_1",0.003,-0.014,-0.004,0.016,0
"V89_2",0.035,-0.044,-0.011,0.074,-0.024
"V89_3",-0.083,0.028,0.036,-0.1,-0.061
"V108_1",-0.102,-0.065,0.032,-0.006,0.04
"V108_2",0.013,0.012,0.04,-0.027,0.011
"V108_3",0.05,0.012,-0.029,0.027,-0.023
"V108_4",0.033,0.019,-0.038,-0.006,-0.023
"V109_1",-0.05,0.038,0.009,0.005,0.118
"V109_2",0.032,0.02,0.055,-0.003,-0.004
"V109_3",0.015,-0.041,-0.02,0.007,-0.066
"V109_4",-0.003,-0.023,-0.032,-0.019,-0.04
"V110_1",-0.02,-0.005,0.04,0.009,0.05
"V110_2",0.015,0.013,0.094,-0.03,-0.006
"V110_3",0.027,-0.014,-0.044,0.02,-0.006
"V110_4",-0.017,-0.01,-0.072,-0.018,-0.026
"V111_1",-0.028,-0.004,0.053,0.012,0.057
"V111_2",0.016,0.026,0.089,-0.025,0
"V111_3",0.028,-0.016,-0.069,0.019,-0.02
"V111_4",-0.016,-0.014,-0.063,-0.02,-0.03
"V112_1",-0.016,0,0.035,0.01,0.044
"V112_2",0.02,0.006,0.108,0.005,0.033
"V112_3",0.022,-0.026,-0.001,0.006,-0.023
"V112_4",-0.014,-0.036,-0.086,-0.043,-0.045
"V113_1",-0.016,0.025,0.004,0.059,0.083
"V113_2",0.056,0.033,0.033,0.025,0.012
"V113_3",-0.011,-0.031,-0.004,-0.041,-0.049
"V113_4",-0.028,-0.038,-0.023,-0.052,-0.039
"V114_1",-0.019,0.028,0.035,0.059,0.072
"V114_2",0.039,0.027,0.07,0.043,0.025
"V114_3",0,-0.04,-0.034,-0.042,-0.04
"V114_4",-0.019,-0.03,-0.051,-0.07,-0.05
"V115_1",-0.027,0.04,0.044,0.007,0.097
"V115_2",0.019,0.01,0.09,-0.01,0.023
"V115_3",0.025,-0.04,-0.037,0.006,-0.044
"V115_4",-0.015,-0.02,-0.083,-0.022,-0.06
"V116_1",-0.012,0.017,0.038,0.008,0.052
"V116_2",0.003,0.017,0.11,-0.013,0.041
"V116_3",0.047,-0.025,0.002,0.013,-0.014
"V116_4",-0.033,-0.029,-0.126,-0.03,-0.077
"V117_1",-0.016,0.029,0.048,0.008,0.081
"V117_2",0.018,0.008,0.107,0.008,0.053
"V117_3",0.034,-0.031,-0.02,-0.001,-0.041
"V117_4",-0.032,-0.024,-0.11,-0.038,-0.085
"V118_1",-0.023,0.019,0.047,0.012,0.077
"V118_2",0.021,0.038,0.115,0.001,0.052
"V118_3",0.019,-0.03,-0.051,0.01,-0.052
"V118_4",-0.019,-0.039,-0.085,-0.046,-0.075
"V119_1",-0.023,-0.043,0.028,0.001,0.066
"V119_2",0.055,0.016,0.038,-0.02,0.015
"V119_3",-0.012,-0.002,-0.009,0.003,-0.047
"V119_4",-0.019,0.005,-0.02,-0.001,-0.022
"V120_1",-0.027,-0.024,0.036,0.008,0.039
"V120_2",0.018,-0.006,0.091,-0.034,0.021
"V120_3",0.029,-0.006,-0.033,0.011,-0.017
"V120_4",-0.014,0.001,-0.048,-0.005,-0.032
"V121_1",-0.036,-0.014,0.067,0.027,0.056
"V121_2",0.017,0.007,0.094,-0.013,-0.001
"V121_3",0.029,-0.015,-0.061,-0.01,-0.015
"V121_4",-0.002,0,-0.067,-0.026,-0.022
"V122_1",-0.018,-0.038,0.026,-0.012,0.036
"V122_2",0.046,-0.002,0.067,-0.042,0.037
"V122_3",0.002,-0.009,-0.014,0.023,-0.029
"V122_4",-0.019,0.008,-0.028,0.008,-0.025
"V123_1",-0.022,-0.038,0.036,-0.017,0.054
"V123_2",0.038,-0.018,0.074,-0.042,0.033
"V123_3",0.006,-0.003,-0.012,0.027,-0.039
"V123_4",-0.025,0.016,-0.037,0.016,-0.035
"V124_1",-0.024,-0.037,0.016,-0.001,0.038
"V124_2",0.033,-0.008,0.047,-0.026,0.025
"V124_3",0.01,0,-0.008,0.017,-0.029
"V124_4",-0.017,0.009,-0.027,0,-0.025
"V126_1",-0.01,-0.017,0.041,-0.011,0.058
"V126_2",0.041,-0.013,0.087,-0.056,0.039
"V126_3",0.021,-0.019,-0.007,0.002,-0.018
"V126_4",-0.048,0.018,-0.082,0.056,-0.062
"V127_1",-0.024,0.011,0.022,-0.039,-0.002
"V127_2",0.002,-0.018,0.031,-0.077,-0.042
"V127_3",0.012,0.025,0.01,0.001,-0.03
"V127_4",0.009,-0.045,-0.023,0.109,0.071
"V128_1",-0.029,-0.009,-0.011,0.014,-0.008
"V128_2",0.012,-0.014,0.007,-0.04,-0.028
"V128_3",0.017,0.009,0.052,0,-0.01
"V128_4",0,-0.023,-0.005,0.024,0.044
"V129_1",-0.026,-0.013,0.017,0.021,0.001
"V129_2",-0.037,-0.043,0.031,0.002,-0.022
"V129_3",-0.002,0.016,0.036,-0.05,-0.045
"V129_4",0.079,0.004,-0.044,0.011,0.073
"V130_1",-0.026,-0.037,-0.026,0.089,0.104
"V130_2",0.026,0.02,0.023,-0.078,-0.071
"V130_3",0,-0.001,0.026,-0.014,-0.021
"V130_4",-0.004,-0.002,0.003,0.002,-0.006
"V142_1",-0.003,-0.031,0.056,0.044,0.023
"V142_2",0.041,0.033,0.064,0.043,-0.014
"V142_3",-0.006,-0.029,-0.074,-0.074,-0.084
"V142_4",-0.024,-0.009,-0.044,-0.015,-0.026
"V217_1",0.067,-0.035,0.037,0.044,0.051
"V217_2",0.011,-0.016,0.024,-0.078,0.035
"V217_3",-0.012,-0.008,0.012,-0.021,0.009
"V217_4",-0.016,-0.013,0.003,-0.016,0.007
"V217_5",-0.067,0.03,-0.07,0.031,-0.037
"V218_1",0.004,-0.003,0.015,-0.003,0.008
"V218_2",0.035,-0.002,0.003,-0.023,0.036
"V218_3",0.019,-0.007,0.032,-0.025,0.014
"V218_4",0.004,-0.027,0.026,-0.017,0.024
"V218_5",-0.082,-0.001,-0.069,0.027,-0.017
"V219_1",0.004,-0.001,-0.026,-0.105,0.062
"V219_2",-0.003,-0.013,0.003,0.019,0.011
"V219_3",-0.002,-0.008,0.011,0.011,-0.002
"V219_4",-0.005,-0.011,0.008,0.012,-0.001
"V219_5",-0.01,-0.009,0.007,0.023,-0.007
"V220_1",0.023,-0.109,0.019,0.016,0.063
"V220_2",0.002,-0.01,0.016,-0.003,0.006
"V220_3",-0.004,0.006,0.016,-0.005,0.003
"V220_4",-0.003,0.004,0.006,-0.001,-0.003
"V220_5",-0.037,0.068,-0.055,-0.046,-0.005
"V221_1",-0.015,-0.047,0.037,0.017,0.034
"V221_2",0,-0.009,0.015,0.012,0
"V221_3",-0.002,-0.006,0.012,0.005,-0.007
"V221_4",0.001,-0.01,0.007,0.01,-0.007
"V221_5",-0.004,0.03,-0.066,-0.085,0.043
"V222_1",0.048,-0.017,-0.021,0.029,0.02
"V222_2",0.013,-0.008,0.011,0.006,0.001
"V222_3",0,-0.009,0.017,0.006,-0.007
"V222_4",-0.002,-0.013,0.017,0.007,-0.004
"V222_5",-0.076,0.005,-0.014,-0.091,0.057
"V223_1",0.067,0.003,-0.037,0.023,0.023
"V223_2",0.01,-0.008,0.004,0.002,0.004
"V223_3",-0.003,-0.008,0.015,0.005,-0.006
"V223_4",-0.007,-0.013,0.016,0.005,-0.006
"V223_5",-0.084,-0.016,0.011,-0.077,0.051
"V224_1",-0.023,-0.034,0,-0.022,0.079
"V224_2",0.019,0.003,-0.007,-0.016,0.031
"V224_3",0.002,-0.002,0.007,-0.001,-0.009
"V224_4",0.001,-0.006,-0.002,0.001,-0.014
"V224_5",-0.018,-0.001,0.006,-0.001,-0.023
"V225_1",-0.074,-0.006,0.02,-0.061,0.035
"V225_2",-0.014,-0.007,0.036,0.007,-0.031
"V225_3",0.103,0.002,-0.052,0.033,0.006
"V225_4",-0.015,0.008,-0.009,0.017,-0.008
"V226_1",0.03,-0.07,-0.052,-0.086,0.076
"V226_2",0,0.031,0.05,0.003,-0.019
"V226_3",-0.033,0.042,-0.024,0.067,-0.047
"V227_1",0.048,-0.083,-0.036,-0.052,0.085
"V227_2",-0.014,0.034,0.051,0.003,-0.023
"V227_3",-0.026,0.062,-0.002,0.06,-0.047
"V143_1",-0.061,-0.044,-0.016,-0.026,0.078
"V143_2",0.033,0.025,0.039,0.015,-0.029
"V143_3",0.024,0.009,-0.003,-0.001,-0.027
"V143_4",0.005,0.004,-0.015,0.005,-0.015
"V145_1",-0.054,-0.047,0.02,0.089,-0.034
"V145_2",-0.024,-0.094,0.031,-0.004,-0.028
"V145_3",-0.005,-0.027,0.001,-0.042,-0.004
"V145_4",0.003,0.069,0.012,-0.061,0.038
"V145_5",0.012,0.008,-0.004,-0.011,0.002
"V145_6",0.017,-0.014,0.019,-0.008,0.004
"V145_7",0.063,0.091,-0.066,0.024,0.026
"V146_1",-0.12,-0.042,-0.02,0.153,-0.026
"V146_2",-0.009,-0.093,0.025,-0.062,-0.026
"V146_3",0.008,-0.02,-0.008,-0.016,0
"V146_4",0.011,0.007,0.006,-0.042,-0.001
"V146_5",0.012,0.027,0.018,-0.034,-0.002
