"","V2","V258","V81","V82","V83"
"403",12,1,-2,2,2
"404",12,1,1,2,2
"405",12,1,1,2,2
"406",12,1,1,2,2
"407",12,1,1,2,2
"408",12,1,1,2,2
"409",12,1,-2,2,2
"410",12,1,3,2,2
"411",12,1,2,2,2
"412",12,1,1,2,2
"413",12,1,2,2,2
"414",12,1,2,2,2
"415",12,1,1,2,2
"416",12,1,-2,2,2
"417",12,1,2,2,2
"418",12,1,3,2,2
"419",12,1,1,2,2
"420",12,1,-2,2,2
"421",12,1,2,2,2
"422",12,1,1,2,2
"423",12,1,1,2,2
"424",12,1,-2,2,2
"425",12,1,2,2,-2
"426",12,1,1,2,2
"427",12,1,-2,2,2
"428",12,1,1,2,2
"429",12,1,1,2,2
"430",12,1,-2,2,2
"431",12,1,1,2,2
"432",12,1,3,2,2
"433",12,1,3,1,2
"434",12,1,-2,2,2
"435",12,1,1,1,2
"436",12,1,3,2,2
"437",12,1,3,2,2
"438",12,1,3,2,2
"439",12,1,3,2,2
"440",12,1,2,2,2
"441",12,1,2,2,2
"442",12,1,2,2,2
"443",12,1,2,2,2
"444",12,1,3,2,2
"445",12,1,2,2,2
"446",12,1,2,2,2
"447",12,1,2,2,2
"448",12,1,2,1,2
"449",12,1,2,2,2
"450",12,1,-2,2,2
"451",12,1,1,2,2
"452",12,1,1,2,2
"453",12,1,1,1,2
"454",12,1,1,1,2
"455",12,1,1,1,2
"456",12,1,2,2,2
"457",12,1,-2,1,2
"458",12,1,1,2,2
"459",12,1,2,2,2
"460",12,1,2,2,2
"461",12,1,2,2,1
"462",12,1,2,2,2
"463",12,1,2,2,2
"464",12,1,3,2,2
"465",12,1,2,2,2
"466",12,1,2,2,2
"467",12,1,2,2,2
"468",12,1,2,2,2
"469",12,1,2,2,2
"470",12,1,2,2,2
"471",12,1,2,2,2
"472",12,1,2,2,2
"473",12,1,2,2,2
"474",12,1,2,2,1
"475",12,1,2,2,2
"476",12,1,2,2,2
"477",12,1,3,2,2
"478",12,1,1,2,2
"479",12,1,2,2,2
"480",12,1,2,2,2
"481",12,1,1,1,2
"482",12,1,1,1,2
"483",12,1,1,2,2
"484",12,1,1,1,2
"485",12,1,1,1,2
"486",12,1,1,2,2
"487",12,1,1,1,2
"488",12,1,2,1,2
"489",12,1,1,1,2
"490",12,1,1,1,2
"491",12,1,2,2,2
"492",12,1,2,2,2
"493",12,1,-2,1,-2
"494",12,1,1,1,2
"495",12,1,1,1,1
"496",12,1,1,2,2
"497",12,1,2,1,2
"498",12,1,-2,1,2
"499",12,1,2,2,2
"500",12,1,2,1,2
"501",12,1,2,2,2
"502",12,1,-2,2,2
"503",12,1,3,2,2
"504",12,1,3,2,2
"505",12,1,3,2,2
"506",12,1,-2,2,2
"507",12,1,3,2,2
"508",12,1,-2,2,2
"509",12,1,3,2,2
"510",12,1,3,1,2
"511",12,1,3,2,2
"512",12,1,3,2,2
"513",12,1,-2,2,2
