Country_Name,GEA Region,2629 - 3066 / Class 3 at 50m,3067 - 3504 / Class 4 at 50m,3505 - 3942 / Class 5 at 50m,3943 - 4000 / Class 6&7 at 50m
British Virgin Is.,LAC,0,0,0,0
Vietnam,OEA,0,0,0,0
Vatican City,WEU,0,0,0,0
Vanuatu,PAS,0,0,0,0
Samoa,PAS,0,0,0,0
Guernsey,WEU,No Data,No Data,No Data,No Data
Isle of Man,WEU,0,0,617,0
Jersey,WEU,0,0,0,0
Yemen,MEE,0,0,0,0
South Africa,SAF,0,0,0,0
"Congo, DRC",WCA,0,0,0,0
Zambia,SAF,0,0,0,0
Zimbabwe,SAF,0,0,0,0
