"","PC1","PC2","PC3","PC4","PC5"
"V56_Low",NA,NA,NA,NA,NA
"V56_Med",NA,NA,NA,NA,NA
"V56_High",NA,NA,NA,NA,NA
"V56_ Very High",NA,NA,NA,NA,NA
"V55_Low",NA,NA,NA,NA,NA
"V55_Med",NA,NA,NA,NA,NA
"V55_High",NA,NA,NA,NA,NA
"V55_ Very High",NA,NA,NA,NA,NA
"V157_Low",NA,NA,NA,NA,NA
"V157_Med",NA,NA,NA,NA,NA
"V157_High",NA,NA,NA,NA,NA
"V157_ Very High",NA,NA,NA,NA,NA
"V158_Low",NA,NA,NA,NA,NA
"V158_Med",NA,NA,NA,NA,NA
"V158_High",NA,NA,NA,NA,NA
"V158_ Very High",NA,NA,NA,NA,NA
"V159_Low",NA,NA,NA,NA,NA
"V159_Med",NA,NA,NA,NA,NA
"V159_High",NA,NA,NA,NA,NA
"V159_ Very High",NA,NA,NA,NA,NA
"V160_Low",NA,NA,NA,NA,NA
"V160_Med",NA,NA,NA,NA,NA
"V160_High",NA,NA,NA,NA,NA
"V160_ Very High",NA,NA,NA,0.13,NA
"V164_Low",NA,NA,NA,NA,NA
"V164_Med",NA,NA,NA,NA,NA
"V164_High",NA,NA,NA,NA,NA
"V164_ Very High",NA,NA,NA,NA,NA
"V59_Low",NA,NA,NA,NA,NA
"V59_Med",NA,NA,NA,NA,NA
"V59_High",NA,NA,NA,NA,NA
"V59_ Very High",NA,NA,NA,NA,NA
"V95_Low",NA,NA,NA,NA,NA
"V95_Med",NA,NA,NA,0.103,NA
"V95_High",NA,NA,NA,NA,NA
"V95_ Very High",NA,NA,NA,NA,NA
"V96_Low",NA,NA,NA,NA,NA
"V96_Med",NA,NA,NA,NA,NA
"V96_High",NA,NA,NA,NA,NA
"V96_ Very High",NA,NA,NA,NA,NA
"V97_Low",NA,NA,NA,NA,NA
"V97_Med",NA,NA,NA,NA,NA
"V97_High",NA,NA,NA,NA,NA
"V97_ Very High",NA,NA,NA,NA,NA
"V98_Low",NA,NA,NA,NA,NA
"V98_Med",NA,NA,NA,NA,NA
"V98_High",NA,NA,NA,NA,NA
"V98_ Very High",NA,NA,NA,NA,NA
"V99_Low",NA,NA,NA,NA,NA
"V99_Med",NA,NA,NA,NA,NA
"V99_High",NA,NA,NA,NA,NA
"V99_ Very High",NA,NA,NA,NA,NA
"V100_Low",NA,NA,NA,NA,NA
"V100_Med",NA,NA,NA,NA,NA
"V100_High",NA,NA,NA,NA,NA
"V100_ Very High",NA,NA,NA,NA,NA
"V101_Low",NA,NA,NA,NA,NA
"V101_Med",NA,NA,NA,NA,NA
"V101_High",NA,NA,NA,NA,NA
"V101_ Very High",NA,NA,NA,NA,NA
"V131_Low",NA,NA,NA,NA,NA
"V131_Med",NA,NA,NA,NA,NA
"V131_High",NA,NA,NA,NA,NA
"V131_ Very High",NA,NA,NA,NA,NA
"V132_Low",NA,NA,NA,NA,NA
"V132_Med",NA,NA,NA,NA,NA
"V132_High",NA,NA,NA,NA,NA
"V132_ Very High",NA,NA,NA,NA,NA
"V134_Low",NA,NA,NA,NA,NA
"V134_Med",NA,NA,NA,NA,NA
"V134_High",NA,NA,NA,NA,NA
"V134_ Very High",NA,NA,NA,NA,NA
"V135_Low",NA,NA,NA,NA,NA
"V135_Med",NA,NA,NA,NA,NA
"V135_High",NA,NA,NA,NA,NA
"V135_ Very High",NA,NA,NA,NA,NA
"V136_Low",NA,NA,NA,NA,NA
"V136_Med",NA,NA,NA,NA,NA
"V136_High",NA,NA,NA,NA,NA
"V136_ Very High",NA,NA,NA,NA,NA
"V137_Low",NA,NA,NA,NA,NA
"V137_Med",NA,NA,NA,NA,NA
"V137_High",NA,NA,NA,NA,NA
"V137_ Very High",NA,NA,NA,NA,NA
"V138_Low",NA,NA,NA,NA,NA
"V138_Med",NA,NA,NA,NA,NA
"V138_High",NA,NA,NA,NA,NA
"V138_ Very High",NA,NA,NA,NA,NA
"V141_Low",NA,NA,NA,NA,NA
"V141_Med",NA,NA,NA,NA,NA
"V141_High",NA,NA,NA,NA,NA
"V141_ Very High",NA,NA,NA,NA,NA
"V192_Low",NA,NA,NA,NA,NA
"V192_Med",NA,NA,NA,NA,NA
"V192_High",NA,NA,NA,NA,NA
"V192_ Very High",NA,NA,NA,NA,NA
"V194_Low",NA,NA,NA,NA,NA
"V194_Med",NA,NA,NA,NA,NA
"V194_High",NA,NA,NA,NA,NA
"V194_ Very High",NA,NA,NA,NA,NA
"V197_Low",NA,NA,NA,NA,NA
"V197_Med",NA,NA,NA,NA,NA
"V197_High",NA,NA,NA,NA,NA
"V197_ Very High",NA,NA,NA,NA,0.112
"V198_Low",NA,NA,NA,NA,NA
"V198_Med",NA,NA,NA,NA,NA
"V198_High",NA,NA,NA,NA,NA
"V198_ Very High",NA,NA,NA,NA,NA
"V200_Low",NA,NA,NA,NA,NA
"V200_Med",NA,NA,NA,NA,NA
"V200_High",NA,NA,NA,NA,NA
"V200_ Very High",NA,NA,NA,NA,NA
"V209_Low",NA,NA,NA,NA,NA
"V209_Med",NA,NA,NA,NA,NA
"V209_High",NA,NA,NA,NA,NA
"V209_ Very High",NA,NA,NA,NA,NA
"V210_Low",NA,NA,NA,NA,NA
"V210_Med",NA,NA,NA,NA,NA
"V210_High",NA,NA,NA,NA,NA
"V210_ Very High",NA,NA,NA,NA,NA
"V199_Low",NA,NA,NA,NA,NA
"V199_Med",NA,NA,NA,NA,NA
"V199_High",NA,NA,NA,NA,NA
