"","V161","V162","V163"
"492",1,2,2
"493",2,1,0
"494",0,1,2
"495",2,3,0
"496",1,1,3
"497",1,2,3
"498",1,1,2
"499",1,3,1
"500",2,1,1
"501",0,0,1
"502",3,3,3
"503",4,4,4
"504",3,3,3
"505",3,3,3
"506",3,3,3
"507",1,1,1
"508",4,4,4
"509",3,3,3
"510",2,2,2
"511",4,4,4
"512",4,4,4
"513",2,2,2
"514",3,3,3
"515",3,3,3
"516",3,3,3
"517",3,3,3
"518",4,4,4
"519",4,4,4
"520",-2,-2,-2
"521",-2,-2,-2
"522",-2,-2,-2
"523",-2,-2,-2
"524",3,2,4
"525",2,2,3
"526",-2,-2,-2
"527",2,2,2
"528",4,4,4
"529",-2,-2,-2
"530",-2,-2,-2
"531",-2,-2,-2
"532",2,2,1
"533",-2,-2,-2
"534",3,1,3
"535",-2,-2,-2
"536",-2,-2,4
"537",-2,-2,-2
"538",1,0,2
"539",-2,-2,-2
"540",-2,-2,-2
"541",4,4,-2
"542",4,3,1
"543",3,2,3
"544",0,0,0
"545",0,4,-2
"546",-2,4,4
"547",0,0,0
"548",0,0,0
"549",-2,-2,-2
"550",4,4,4
"551",4,2,4
"552",4,2,4
"553",0,0,0
"554",3,3,4
"555",1,4,4
"556",-2,-2,-2
"557",-2,-2,-2
"558",4,2,4
"559",0,0,0
"560",2,4,4
"561",4,4,4
"562",4,4,4
"563",4,4,4
"564",0,0,0
"565",2,2,2
"566",4,4,4
"567",4,4,4
"568",4,4,4
"569",4,4,4
"570",0,0,0
"571",4,4,4
"572",4,4,4
"573",4,4,4
"574",3,3,3
"575",2,2,2
"576",2,2,2
"577",4,4,4
"578",3,3,3
"579",3,3,3
"580",1,1,1
"581",4,4,4
"582",4,4,4
"583",2,4,4
"584",2,2,4
"585",4,4,4
"586",0,2,2
"587",0,4,4
"588",2,2,4
"589",0,4,4
"590",4,4,4
"591",1,1,4
"592",4,4,4
"593",4,4,3
"594",4,4,4
"595",4,4,4
"596",-2,-2,-2
"597",4,4,4
"598",4,4,4
"599",4,4,4
"600",0,0,4
"601",4,4,4
"602",4,4,4
"603",4,4,4
"604",4,4,4
"605",4,4,4
"606",0,4,4
"607",4,4,4
"608",2,2,2
"609",2,2,4
"610",1,1,1
"611",0,0,4
"612",0,0,4
"613",-2,-2,-2
"614",-2,-2,-2
"615",-2,-2,-2
"616",0,0,4
"617",0,3,3
"618",0,4,4
"619",4,4,4
"620",-2,-2,-2
"621",1,1,4
"622",4,4,4
"623",4,4,4
"624",2,2,2
"625",4,4,4
"626",0,4,4
"627",4,4,4
"628",4,4,4
