"","","","R_squared","P_Values"
"138","V51_1_Ref","V45_1_Ref","0.709090909090909","1.18402867680148e-14"
"139","V51_1_Ref","V52_1_Ref","0.720779220779221","4.33078503979007e-15"
"140","V51_1_Ref","V53_1_Ref","0.846753246753247","3.08201801239168e-20"
"141","V51_2","V53_2","0.759337487271553","1.43066143194072e-16"
"142","V51_3","V53_3","0.786619073640591","1.13852138124162e-17"
"143","V51_4","V53_4","0.820779220779221","4.13246691416343e-19"
"144","V52_1_Ref","V51_1_Ref","0.720779220779221","4.33078503979007e-15"
"145","V52_1_Ref","V53_1_Ref","0.754545454545455","2.16674124729248e-16"
"146","V53_1_Ref","V45_1_Ref","0.727272727272727","2.45986166077624e-15"
"147","V53_1_Ref","V51_1_Ref","0.846753246753247","3.08201801239168e-20"
"148","V53_1_Ref","V52_1_Ref","0.754545454545455","2.16674124729248e-16"
"149","V53_2","V51_2","0.759337487271553","1.43066143194072e-16"
"150","V53_3","V51_3","0.786619073640591","1.13852138124162e-17"
"151","V53_4","V51_4","0.820779220779221","4.13246691416343e-19"
"152","V85_3","V86_3","0.709824333116461","1.23771778898534e-14"
"153","V85_3","V87_3","0.765777488614183","8.79548961954234e-17"
"154","V86_3","V85_3","0.709824333116461","1.23771778898534e-14"
"155","V87_2","V88_2","0.825634352635003","2.95590941144974e-19"
"156","V87_3","V85_3","0.765777488614183","8.79548961954234e-17"
"157","V87_3","V88_3","0.768379960962915","6.9260313480511e-17"
"158","V87_3","V89_3","0.70477353760254","2.31199642706081e-14"
"159","V88_2","V87_2","0.825634352635003","2.95590941144974e-19"
"160","V88_3","V87_3","0.768379960962915","6.9260313480511e-17"
"161","V88_3","V89_3","0.737432181606365","1.39811341726341e-15"
"162","V89_3","V87_3","0.70477353760254","2.31199642706081e-14"
"163","V89_3","V88_3","0.737432181606365","1.39811341726341e-15"
"164","V110_1_Ref","V111_1_Ref","0.791815566282312","6.96125594001232e-18"
"165","V110_2","V111_2","0.768831168831169","5.86236122772942e-17"
"166","V110_3","V111_3","0.751948051948052","2.74106109689868e-16"
"167","V110_4","V111_4","0.800909428405325","2.92075097741247e-18"
"168","V111_1_Ref","V110_1_Ref","0.791815566282312","6.96125594001232e-18"
"169","V111_2","V110_2","0.768831168831169","5.86236122772942e-17"
"170","V111_3","V110_3","0.751948051948052","2.74106109689868e-16"
