"","V2","V258","V45","V46"
"523",12,1,1,-4
"524",12,1,2,-4
"525",12,1,1,-4
"526",12,1,3,-4
"527",12,1,3,-4
"528",12,1,1,-4
"529",12,1,1,-4
"530",12,1,1,-4
"531",12,1,1,-4
"532",12,1,2,-4
"533",12,1,1,-4
"534",12,1,1,-4
"535",12,1,1,-4
"536",12,1,1,-4
"537",12,1,1,-4
"538",12,1,1,-4
"539",12,1,1,-4
"540",12,1,1,-4
"541",12,1,3,-4
"542",12,1,1,-4
"543",12,1,1,-4
"544",12,1,1,-4
"545",12,1,1,-4
"546",12,1,1,-4
"547",12,1,2,-4
"548",12,1,-2,-4
"549",12,1,-2,-4
"550",12,1,1,-4
"551",12,1,3,-4
"552",12,1,3,-4
"553",12,1,1,-4
"554",12,1,1,-4
"555",12,1,1,-4
"556",12,1,-2,-4
"557",12,1,1,-4
"558",12,1,1,-4
"559",12,1,1,-4
"560",12,1,3,-4
"561",12,1,3,-4
"562",12,1,2,-4
"563",12,1,1,-4
"564",12,1,2,-4
"565",12,1,3,-4
"566",12,1,1,-4
"567",12,1,1,-4
"568",12,1,3,-4
"569",12,1,2,-4
"570",12,1,1,-4
"571",12,1,1,-4
"572",12,1,1,-4
"573",12,1,2,-4
"574",12,1,2,-4
"575",12,1,3,-4
"576",12,1,1,-4
"577",12,1,3,-4
"578",12,1,1,-4
"579",12,1,1,-4
"580",12,1,2,-4
"581",12,1,1,-4
"582",12,1,1,-4
"583",12,1,1,-4
"584",12,1,1,-4
"585",12,1,1,-4
"586",12,1,1,-4
"587",12,1,1,-4
"588",12,1,1,-4
"589",12,1,3,-4
"590",12,1,1,-4
"591",12,1,1,-4
"592",12,1,1,-4
"593",12,1,1,-4
"594",12,1,1,-4
"595",12,1,2,-4
"596",12,1,3,-4
"597",12,1,1,-4
"598",12,1,1,-4
"599",12,1,2,-4
"600",12,1,1,-4
"601",12,1,3,-4
"602",12,1,1,-4
"603",12,1,1,-4
"604",12,1,1,-4
"605",12,1,1,-4
"606",12,1,1,-4
"607",12,1,2,-4
"608",12,1,1,-4
"609",12,1,2,-4
"610",12,1,2,-4
"611",12,1,2,-4
"612",12,1,2,-4
"613",12,1,1,-4
"614",12,1,3,-4
"615",12,1,1,-4
"616",12,1,3,-4
"617",12,1,3,-4
"618",12,1,2,-4
"619",12,1,1,-4
"620",12,1,2,-4
"621",12,1,1,-4
"622",12,1,1,-4
"623",12,1,2,-4
"624",12,1,2,-4
"625",12,1,2,-4
"626",12,1,1,-4
"627",12,1,2,-4
"628",12,1,2,-4
"629",12,1,1,-4
"630",12,1,2,-4
"631",12,1,2,-4
"632",12,1,1,-4
"633",12,1,1,-4
"634",12,1,2,-4
"635",12,1,2,-4
"636",12,1,1,-4
"637",12,1,1,-4
"638",12,1,1,-4
"639",12,1,2,-4
"640",12,1,1,-4
"641",12,1,3,-4
"642",12,1,1,-4
"643",12,1,3,-4
"644",12,1,3,-4
"645",12,1,3,-4
"646",12,1,1,-4
"647",12,1,3,-4
"648",12,1,3,-4
"649",12,1,1,-4
"650",12,1,1,-4
"651",12,1,1,-4
"652",12,1,1,-4
"653",12,1,1,-4
"654",12,1,1,-4
"655",12,1,1,-4
"656",12,1,1,-4
"657",12,1,1,-4
"658",12,1,1,-4
"659",12,1,1,-4
"660",12,1,1,-4
"661",12,1,3,-4
"662",12,1,1,-4
"663",12,1,1,-4
"664",12,1,1,-4
"665",12,1,1,-4
"666",12,1,2,-4
"667",12,1,1,-4
"668",12,1,1,-4
"669",12,1,1,-4
"670",12,1,1,-4
"671",12,1,2,-4
"672",12,1,1,-4
"673",12,1,1,-4
"674",12,1,1,-4
"675",12,1,1,-4
"676",12,1,2,-4
"677",12,1,1,-4
"678",12,1,1,-4
"679",12,1,1,-4
"680",12,1,1,-4
"681",12,1,3,-4
"682",12,1,1,-4
"683",12,1,1,-4
"684",12,1,1,-4
"685",12,1,2,-4
"686",12,1,1,-4
"687",12,1,1,-4
"688",12,1,3,-4
"689",12,1,1,-4
"690",12,1,2,-4
"691",12,1,3,-4
"692",12,1,1,-4
"693",12,1,1,-4
"694",12,1,3,-4
"695",12,1,1,-4
"696",12,1,1,-4
"697",12,1,1,-4
"698",12,1,1,-4
"699",12,1,2,-4
"700",12,1,1,-4
"701",12,1,3,-4
"702",12,1,1,-4
"703",12,1,3,-4
"704",12,1,2,-4
"705",12,1,1,-4
"706",12,1,1,-4
"707",12,1,1,-4
"708",12,1,1,-4
"709",12,1,-2,-4
"710",12,1,3,-4
"711",12,1,1,-4
"712",12,1,3,-4
"713",12,1,-2,-4
"714",12,1,-2,-4
"715",12,1,2,-4
"716",12,1,3,-4
"717",12,1,1,-4
"718",12,1,3,-4
"719",12,1,-2,-4
"720",12,1,2,-4
"721",12,1,1,-4
"722",12,1,-2,-4
"723",12,1,2,-4
"724",12,1,1,-4
"725",12,1,1,-4
"726",12,1,1,-4
"727",12,1,3,-4
"728",12,1,1,-4
"729",12,1,1,-4
"730",12,1,1,-4
"731",12,1,1,-4
"732",12,1,1,-4
"733",12,1,2,-4
"734",12,1,1,-4
"735",12,1,1,-4
"736",12,1,3,-4
"737",12,1,2,-4
"738",12,1,3,-4
"739",12,1,1,-4
"740",12,1,1,-4
"741",12,1,2,-4
"742",12,1,2,-4
"743",12,1,2,-4
"744",12,1,1,-4
"745",12,1,2,-4
"746",12,1,2,-4
"747",12,1,2,-4
"748",12,1,3,-4
"749",12,1,2,-4
"750",12,1,2,-4
"751",12,1,3,-4
"752",12,1,1,-4
"753",12,1,3,-4
"754",12,1,3,-4
"755",12,1,3,-4
"756",12,1,1,-4
"757",12,1,3,-4
"758",12,1,1,-4
"759",12,1,3,-4
"760",12,1,1,-4
"761",12,1,2,-4
"762",12,1,1,-4
"763",12,1,1,-4
"764",12,1,1,-4
"765",12,1,2,-4
"766",12,1,1,-4
"767",12,1,1,-4
"768",12,1,3,-4
"769",12,1,1,-4
"770",12,1,3,-4
"771",12,1,3,-4
"772",12,1,1,-4
"773",12,1,2,-4
"774",12,1,3,-4
"775",12,1,1,-4
"776",12,1,1,-4
"777",12,1,1,-4
"778",12,1,1,-4
"779",12,1,1,-4
"780",12,1,1,-4
"781",12,1,3,-4
"782",12,1,1,-4
"783",12,1,1,-4
