"","PC1","PC2","PC3","PC4","PC5"
"V116_3",0.063,-0.015,-0.016,-0.008,-0.033
"V116_4",-0.047,-0.072,0.115,0.031,-0.114
"V117_2",0.029,0.04,-0.105,-0.001,0.082
"V117_3",0.044,-0.03,0.002,0.002,-0.077
"V117_4",-0.046,-0.064,0.097,0.04,-0.116
"V118_2",0.031,0.076,-0.111,0.016,0.069
"V118_3",0.024,-0.041,0.037,-0.012,-0.083
"V118_4",-0.029,-0.074,0.073,0.044,-0.096
"V119_2",0.071,0.038,-0.035,0.037,-0.013
"V119_3",-0.017,-0.01,-0.002,-0.003,-0.049
"V119_4",-0.026,-0.006,0.019,0.002,-0.019
"V120_2",0.028,0.022,-0.098,0.042,0.015
"V120_3",0.038,-0.01,0.03,-0.001,-0.032
"V120_4",-0.021,-0.017,0.047,0.007,-0.037
"V121_2",0.023,0.037,-0.101,0.011,-0.008
"V121_3",0.038,-0.029,0.06,0.029,-0.031
"V121_4",-0.005,-0.022,0.07,0.037,-0.029
"V122_2",0.064,0.023,-0.067,0.062,0.02
"V122_3",0.003,-0.013,0.004,-0.021,-0.036
"V122_4",-0.028,-0.004,0.027,-0.007,-0.024
"V123_2",0.054,0.005,-0.081,0.059,0.009
"V123_3",0.007,-0.006,0.004,-0.026,-0.044
"V123_4",-0.035,0.001,0.038,-0.015,-0.029
"V124_2",0.047,0.007,-0.051,0.045,0.011
"V124_3",0.012,-0.001,0.003,-0.014,-0.037
"V124_4",-0.025,-0.002,0.027,0.001,-0.025
"V126_2",0.058,0.019,-0.097,0.075,0.033
"V126_3",0.03,-0.021,0,0.007,-0.042
"V126_4",-0.065,-0.013,0.081,-0.058,-0.06
"V127_2",0.001,-0.02,-0.044,0.088,-0.052
"V127_3",0.014,0.029,-0.008,0.007,-0.055
"V127_4",0.022,-0.039,0.02,-0.124,0.092
"V128_2",0.015,-0.014,-0.016,0.053,-0.053
"V128_3",0.024,0.024,-0.057,0.005,-0.011
"V128_4",0.005,-0.02,0.003,-0.026,0.05
"V129_2",-0.044,-0.049,-0.051,-0.013,-0.013
"V129_3",-0.005,0.016,-0.045,0.07,-0.061
"V129_4",0.104,0.025,0.055,0.006,0.045
"V130_2",0.028,0.024,-0.026,0.097,-0.109
"V130_3",-0.001,0.002,-0.034,0.018,-0.019
"V130_4",-0.005,-0.003,-0.006,-0.002,-0.003
"V142_2",0.056,0.064,-0.065,-0.035,-0.032
"V142_3",-0.013,-0.055,0.061,0.076,-0.13
"V142_4",-0.033,-0.027,0.04,0.014,-0.029
"V217_2",0.013,-0.016,-0.028,0.104,0.05
"V217_3",-0.015,-0.012,-0.016,0.027,0.023
"V217_4",-0.019,-0.015,-0.014,0.022,0.008
"V217_5",-0.091,0.008,0.064,-0.05,-0.048
"V218_2",0.045,0.011,0,0.036,0.016
"V218_3",0.024,0.005,-0.038,0.035,0.018
"V218_4",0.008,-0.016,-0.04,0.025,0.032
"V218_5",-0.108,-0.025,0.057,-0.059,-0.036
"V219_2",-0.002,-0.014,-0.007,-0.022,0.018
"V219_3",-0.002,-0.007,-0.015,-0.013,0.008
"V219_4",-0.005,-0.011,-0.012,-0.014,0.008
"V219_5",-0.012,-0.011,-0.013,-0.031,0.011
"V220_2",0.003,-0.005,-0.021,0.008,0
"V220_3",-0.006,0.009,-0.016,0.007,0.001
"V220_4",-0.005,0.008,-0.009,0.001,-0.012
"V220_5",-0.058,0.062,0.069,0.026,-0.044
"V221_2",0.001,-0.003,-0.021,-0.017,0
"V221_3",-0.002,-0.004,-0.017,-0.008,-0.006
"V221_4",0.003,-0.007,-0.013,-0.011,-0.007
"V221_5",-0.014,0.019,0.076,0.094,0.005
"V222_2",0.018,-0.001,-0.016,-0.005,-0.004
"V222_3",0.001,-0.006,-0.022,-0.007,-0.004
"V222_4",-0.001,-0.008,-0.024,-0.009,-0.002
"V222_5",-0.104,-0.004,0.005,0.086,0.047
"V223_2",0.014,-0.003,-0.008,-0.001,-0.001
"V223_3",-0.003,-0.006,-0.021,-0.007,-0.002
"V223_4",-0.008,-0.011,-0.024,-0.006,-0.001
"V223_5",-0.112,-0.027,-0.025,0.067,0.066
"V224_2",0.022,0.011,0.007,0.017,0.005
"V224_3",0.002,0,-0.009,-0.002,-0.018
"V224_4",0.001,-0.007,-0.001,-0.002,-0.019
"V224_5",-0.025,-0.004,-0.009,-0.013,-0.03
"V225_2",-0.017,-0.005,-0.048,-0.009,-0.021
"V225_3",0.136,0.016,0.063,-0.013,-0.039
"V225_4",-0.021,0.002,0.009,-0.023,0.003
"V226_2",-0.002,0.041,-0.051,0.008,0.012
"V226_3",-0.044,0.029,0.036,-0.071,-0.03
"V227_2",-0.021,0.043,-0.053,0.007,0.009
"V227_3",-0.037,0.055,0.024,-0.07,-0.029
"V143_2",0.039,0.042,-0.04,-0.01,-0.05
"V143_3",0.028,0.008,0.008,0.005,-0.026
"V143_4",0.005,-0.001,0.018,-0.004,-0.012
"V145_2",-0.023,-0.101,-0.067,-0.004,-0.027
"V145_3",-0.006,-0.03,-0.011,0.043,-0.013
"V145_4",-0.005,0.082,0.005,0.078,0.017
"V145_5",0.013,0.014,0.005,0.012,-0.002
"V145_6",0.024,-0.006,-0.023,0.008,-0.003
"V145_7",0.075,0.09,0.114,-0.003,0.029
"V146_2",-0.007,-0.099,-0.059,0.054,-0.025
"V146_3",0.011,-0.023,0.001,0.017,-0.008
"V146_4",0.011,0.007,-0.006,0.053,-0.001
"V146_5",0.01,0.038,-0.014,0.037,-0.017
"V146_6",0.007,0.009,0.001,0.001,0.003
"V146_7",0.024,0.029,-0.024,-0.007,0.004
"V146_8",0.084,0.108,0.089,0.022,0.09
"V147_2",0.07,0.094,0.01,0.016,0.016
"V147_3",0.046,0.036,-0.011,-0.01,-0.041
"V148_2",0.104,0.083,-0.004,-0.029,-0.023
"V149_2",0.161,0.008,0.011,0.081,0.023
"V150_2",0.055,-0.09,0.018,0.153,0.037
"V150_3",0.006,0.005,-0.004,-0.007,0.001
"V150_4",-0.002,0,-0.005,-0.008,0.004
"V151_2",0.055,-0.057,0.023,0.162,0.032
"V151_3",0.013,0.012,-0.012,-0.017,0.005
"V151_4",-0.002,0,-0.004,-0.006,0.003
"V153_2",-0.049,-0.066,-0.048,0.006,-0.005
"V153_3",0.09,0.009,-0.027,0.122,-0.025
"V153_4",0.094,0.047,0.034,0.032,0.057
"V154_2",-0.048,0.011,-0.019,0.034,-0.02
"V154_3",0.069,-0.089,-0.07,0.061,-0.039
"V154_4",0.1,-0.029,-0.002,0.014,0.055
"V155_2",0.018,-0.062,-0.054,0.017,-0.028
"V155_3",0.01,0.035,0.003,0.034,-0.048
"V155_4",-0.03,0.047,0.097,-0.029,0.031
"V156_2",0.032,-0.044,-0.027,0.07,-0.017
"V156_3",-0.024,-0.003,-0.005,-0.032,-0.038
"V156_4",-0.025,0.009,0.023,-0.04,-0.012
"V211_2",0.069,0.069,-0.01,0.024,-0.084
"V211_3",0.022,0.025,-0.009,0.019,-0.034
"V211_4",0.005,0.004,0,0.01,-0.004
"V211_5",0.006,0.002,0.005,0.003,0.006
"V103_2",0.019,0.056,-0.025,0.003,-0.051
"V103_3",0.002,-0.04,-0.021,0.039,-0.053
"V103_4",-0.008,-0.038,0.012,0.03,-0.016
"V104_2",0.032,0.067,-0.018,0.045,-0.061
"V104_3",-0.041,-0.056,-0.024,0.032,-0.023
"V104_4",-0.021,-0.023,0.004,0.013,-0.005
"V106_2",0.063,-0.031,-0.048,0.02,0.014
"V106_3",-0.019,0.017,-0.055,0.035,-0.043
"V106_4",-0.09,0,0.077,-0.005,-0.005
"V107_2",0.068,0.006,-0.001,0.053,0.033
"V107_3",-0.018,0.022,-0.063,0.01,-0.052
"V107_4",-0.092,-0.044,0.028,-0.014,-0.019
"V212_2",0.05,-0.01,-0.027,-0.006,-0.143
